ID,survived
1000,1
1001,1
1002,0
1003,0
1004,0
1005,1
1006,0
1007,0
1008,1
1009,0
1010,0
1011,1
1012,0
1013,0
1014,1
1015,0
1016,0
1017,0
1018,0
1019,1
1020,1
1021,1
1022,1
1023,0
1024,0
1025,1
1026,1
1027,0
1028,0
1029,1
1030,1
1031,0
1032,0
1033,0
1034,0
1035,0
1036,1
1037,0
1038,1
1039,1
1040,0
1041,1
1042,0
1043,1
1044,0
1045,0
1046,1
1047,0
1048,0
1049,1
1050,0
1051,1
1052,0
1053,0
1054,1
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
1063,1
1064,0
1065,0
1066,0
1067,0
1068,1
1069,0
1070,0
1071,0
1072,0
1073,0
1074,1
1075,1
1076,1
1077,0
1078,0
1079,0
1080,0
1081,1
1082,0
1083,1
1084,0
1085,0
1086,1
1087,1
1088,0
1089,0
1090,0
1091,1
1092,1
1093,1
1094,0
1095,1
1096,0
1097,0
1098,0
1099,1
1100,0
1101,1
1102,0
1103,1
1104,0
1105,0
1106,0
1107,0
1108,1
1109,0
1110,0
1111,0
1112,0
1113,1
1114,0
1115,1
1116,0
1117,1
1118,1
1119,0
1120,0
1121,0
1122,1
1123,1
1124,1
1125,0
1126,1
1127,0
1128,1
1129,1
1130,0
1131,0
1132,0
1133,0
1134,0
1135,0
1136,0
1137,0
1138,0
1139,0
1140,0
1141,1
1142,0
1143,0
1144,0
1145,1
1146,1
1147,0
1148,0
1149,0
1150,0
1151,0
1152,1
1153,0
1154,0
1155,1
1156,0
1157,0
1158,0
1159,0
1160,0
1161,0
1162,0
1163,0
1164,0
1165,1
1166,0
1167,0
1168,0
1169,0
1170,1
1171,1
1172,0
1173,1
1174,0
1175,0
1176,1
1177,0
1178,0
1179,0
1180,0
1181,0
1182,1
1183,0
1184,0
1185,0
1186,0
1187,1
1188,0
1189,0
1190,0
1191,1
1192,1
1193,1
1194,1
1195,1
1196,0
1197,1
1198,1
1199,0
1200,0
1201,0
1202,0
1203,0
1204,1
1205,0
1206,0
1207,0
1208,1
1209,1
1210,1
1211,0
1212,1
1213,0
1214,0
1215,0
1216,1
1217,0
1218,1
1219,0
1220,0
1221,1
1222,0
1223,0
1224,1
1225,0
1226,0
1227,1
1228,0
1229,0
1230,0
1231,1
1232,0
1233,0
1234,0
1235,0
1236,1
1237,0
1238,0
1239,1
1240,0
1241,0
1242,0
1243,1
1244,0
1245,1
1246,1
1247,1
1248,1
1249,0
1250,0
1251,0
1252,1
1253,0
1254,0
1255,0
1256,0
1257,0
1258,1
1259,1
1260,1
1261,1
1262,1
1263,0
1264,0
1265,1
1266,0
1267,0
1268,0
1269,0
1270,0
1271,0
1272,1
1273,0
1274,0
1275,1
1276,1
1277,0
1278,0
1279,1
1280,0
1281,0
1282,0
1283,0
1284,1
1285,1
1286,0
1287,1
1288,0
1289,0
1290,0
1291,0
1292,1
1293,0
1294,1
1295,1
1296,0
1297,0
1298,0
1299,0
1300,1
1301,0
1302,0
1303,1
1304,0
1305,0
1306,0
1307,1
1308,0
